	Atlas	cellType	gene
349	MCA	FetalStomach.Erythroblast_Klf1 high	16
350	MCA	FetalStomach.Erythroblast_Snca high	5
351	MCA	FetalStomach.Hepatocyte-Like Cell	33
352	MCA	FetalStomach.Immunocyte_Lyz2 high	15
353	MCA	FetalStomach.Macrophage	15
354	MCA	FetalStomach.Mast cell	18
355	MCA	FetalStomach.Muscle cell	12
356	MCA	FetalStomach.Neuron	15
357	MCA	FetalStomach.Neutrophil	11
358	MCA	FetalStomach.Progenitor cell	16
359	MCA	FetalStomach.Stomach cell_Kazald1 high	13
360	MCA	FetalStomach.Stromal cell_Cdkn1c high	15
361	MCA	FetalStomach.Stromal cell_Dcn high	12
362	MCA	Kidney.Adipocyte	124
363	MCA	Kidney.B cell	19
364	MCA	Kidney.Dendritic cell_Ccr7 high	18
365	MCA	Kidney.Dendritic cell_Cst3 high	26
366	MCA	Kidney.Distal collecting duct principal cell_Cldn4 high	13
367	MCA	Kidney.Distal collecting duct principal cell_Hsd11b2 high	11
368	MCA	Kidney.Distal convoluted tubule_Pvalb high	23
369	MCA	Kidney.Distal convoluted tubule_S100g high	16
370	MCA	Kidney.Endothelial cell	13
371	MCA	Kidney.Epithelial cell_Cryab high	10
372	MCA	Kidney.Fenestrated endothelial cell_Plvap high	8
373	MCA	Kidney.Fenestrated endothelial cell_Tm4sf1 high	7
374	MCA	Kidney.Glomerular epithelial cell_Aldh1a2 high	77
375	MCA	Kidney.Intercalated cells of collecting duct_Aqp6 high	18
376	MCA	Kidney.Intercalated cells of collecting duct_Slc26a4 high	18
377	MCA	Kidney.Macrophage_Ccl4 high	12
378	MCA	Kidney.Macrophage_Lyz2 high	14
379	MCA	Kidney.Metanephric mesenchyme	64
380	MCA	Kidney.Neutrophil progenitor_S100a8 high	14
381	MCA	Kidney.Proximal tubule brush border cell	16
382	MCA	Kidney.Proximal tubule cell_Cyp4a14 high	19
383	MCA	Kidney.Proximal tubule cell_Osgin1 high	16
384	MCA	Kidney.S1 proximal tubule cells	21
385	MCA	Kidney.S3 proximal tubule cells	23
386	MCA	Kidney.Stromal cell_Ankrd1 high	15
387	MCA	Kidney.Stromal cell_Cxcl10 high	11
388	MCA	Kidney.Stromal cell_Dcn high	20
389	MCA	Kidney.Stromal cell_Mgp high	7
390	MCA	Kidney.Stromal cell_Ptgds high	10
391	MCA	Kidney.T cell	15
392	MCA	Kidney.Thick ascending limb of the loop of Henle	19
393	MCA	Kidney.Ureteric epithelium	32
394	MCA	Liver.B cell_Fcmr high	16
395	MCA	Liver.B cell_Jchain high	9
396	MCA	Liver.Dendritic cell_Cst3 high	16
397	MCA	Liver.Dendritic cell_Siglech high	14
398	MCA	Liver.Endothelial cell	10
399	MCA	Liver.Epithelia cell_Spp1 high	14
400	MCA	Liver.Epithelial cell	15
401	MCA	Liver.Erythroblast_Hbb-bs high	11
402	MCA	Liver.Erythroblast_Hbb-bt high	11
403	MCA	Liver.Granulocyte	8
404	MCA	Liver.Hepatocyte_Fabp1 high	18
405	MCA	Liver.Hepatocyte_mt-Nd4 high	11
406	MCA	Liver.Kuppfer cell	20
407	MCA	Liver.Macrophage_Chil3 high	8
408	MCA	Liver.Neutrophil_Ngp high	10
409	MCA	Liver.Pericentral hepatocytes	19
410	MCA	Liver.Periportal hepatocyte	34
411	MCA	Liver.Stromal cell	11
412	MCA	Liver.T cell_Gzma high	9
413	MCA	Liver.T cell_Trbc2 high	9
414	MCA	Lung.Alveolar bipotent progenitor	25
415	MCA	Lung.Alveolar macrophage_Ear2 high	10
416	MCA	Lung.Alveolar macrophage_Pclaf high	17
417	MCA	Lung.AT1 Cell	8
418	MCA	Lung.AT2 Cell	18
419	MCA	Lung.B Cell	11
420	MCA	Lung.Basophil	8
421	MCA	Lung.Ciliated cell	13
422	MCA	Lung.Clara Cell	18
423	MCA	Lung.Conventional dendritic cell_Gngt2 high	12
424	MCA	Lung.Conventional dendritic cell_H2-M2 high	32
425	MCA	Lung.Conventional dendritic cell_Mgl2 high	19
426	MCA	Lung.Conventional dendritic cell_Tubb5 high	39
427	MCA	Lung.Dendritic cell_Naaa high	22
428	MCA	Lung.Dividing cells	16
429	MCA	Lung.Dividing dendritic cells	31
430	MCA	Lung.Dividing T cells	22
431	MCA	Lung.Endothelial cell_Kdr high	5
432	MCA	Lung.Endothelial cell_Tmem100 high	4
433	MCA	Lung.Endothelial cells_Vwf high	10
434	MCA	Lung.Eosinophil granulocyte	10
435	MCA	Lung.Ig−producing B cell	18
436	MCA	Lung.Interstitial macrophage	12
437	MCA	Lung.Monocyte progenitor cell	38
438	MCA	Lung.Neutrophil granulocyte	9
439	MCA	Lung.NK Cell	8
440	MCA	Lung.Nuocyte	10
441	MCA	Lung.Plasmacytoid dendritic cell	13
442	MCA	Lung.Stromal cell_Acta2 high	6
443	MCA	Lung.Stromal cell_Dcn high	16
444	MCA	Lung.Stromal cell_Inmt high	10
445	MCA	Lung.T Cell_Cd8b1 high	19
446	MCA	MammaryGlandInvolution.B cell_Cd79a high	21
447	MCA	MammaryGlandInvolution.B cell_Jchain high	13
448	MCA	MammaryGlandInvolution.Dendritic cell_Ccl22 high	16
449	MCA	MammaryGlandInvolution.Dendritic cell_Il1b high	22
450	MCA	MammaryGlandInvolution.Dendritic cell_Siglech high	25
451	MCA	MammaryGlandInvolution.Endothelial cell_Aqp1 high	28
452	MCA	MammaryGlandInvolution.Endothelial cell_Fabp4 high	10
453	MCA	MammaryGlandInvolution.Endothelial cell_Fabp4&Aqp1 high	38
454	MCA	MammaryGlandInvolution.Endothelial cell_Glycam1 high	12
455	MCA	MammaryGlandInvolution.Luminal cell	18
456	MCA	MammaryGlandInvolution.Macrophage_Apoe high	14
457	MCA	MammaryGlandInvolution.Macrophage_Pf4 high	15
458	MCA	MammaryGlandInvolution.Macrophage_Plbd1 high	21
459	MCA	MammaryGlandInvolution.Macrophage_Retnla high	17
460	MCA	MammaryGlandInvolution.Mast cell	16
461	MCA	MammaryGlandInvolution.Muscle cell_Inmt high	10
462	MCA	MammaryGlandInvolution.Muscle cell_Pi16 high	15
463	MCA	MammaryGlandInvolution.NK cell_Cd8b1 high	44
464	MCA	MammaryGlandInvolution.NK cell_Gzma high	20
465	MCA	MammaryGlandInvolution.Secretory alveoli cell_Csn2 high	22
466	MCA	MammaryGlandInvolution.Secretory alveoli cell_Trf high	26
467	MCA	MammaryGlandInvolution.Stromal cell	8
468	MCA	MammaryGlandInvolution.T cell_Icos high	16
469	MCA	MammaryGlandInvolution.T cell_Pclaf high	36
470	MCA	MammaryGlandLactation.Adiocyte cell	11
471	MCA	MammaryGlandLactation.B cell_Igkv6-15 high	12
472	MCA	MammaryGlandLactation.B cell_Igkv6-23 high	13
473	MCA	MammaryGlandLactation.B cell_Jchain high	10
474	MCA	MammaryGlandLactation.Dendritic cell	11
475	MCA	MammaryGlandLactation.Macrophage_C1qb high	11
476	MCA	MammaryGlandLactation.Macrophage_Cd74 high	10
477	MCA	MammaryGlandLactation.Muscel cell	11
478	MCA	MammaryGlandLactation.Muscle  cell	11
479	MCA	MammaryGlandLactation.Muscle cell	13
480	MCA	MammaryGlandLactation.Natural kill cell	11
481	MCA	MammaryGlandLactation.Secretory alveoli cell	11
482	MCA	MammaryGlandLactation.Secretory alveoli cell_Actb high	10
483	MCA	MammaryGlandLactation.Secretory alveoli cell_Apod high	13
484	MCA	MammaryGlandLactation.Secretory alveoli cell_Atf3 high	12
485	MCA	MammaryGlandLactation.Secretory alveoli cell_AW112010 high	12
486	MCA	MammaryGlandLactation.Secretory alveoli cell_Bckdha high	12
487	MCA	MammaryGlandLactation.Secretory alveoli cell_Ccng1 high	11
488	MCA	MammaryGlandLactation.Secretory alveoli cell_Cd63 high	12
489	MCA	MammaryGlandLactation.Secretory alveoli cell_Cd83_high	11
490	MCA	MammaryGlandLactation.Secretory alveoli cell_Cfd high	11
491	MCA	MammaryGlandLactation.Secretory alveoli cell_Cgrrf1 high	12
492	MCA	MammaryGlandLactation.Secretory alveoli cell_Cide&Wfdc3&Wap high	13
493	MCA	MammaryGlandLactation.Secretory alveoli cell_Cidea high	14
494	MCA	MammaryGlandLactation.Secretory alveoli cell_Cidea&Elovl5 high	12
495	MCA	MammaryGlandLactation.Secretory alveoli cell_Cidea&Fth1&Wfdc3 high	13
496	MCA	MammaryGlandLactation.Secretory alveoli cell_Clpx high	10
497	MCA	MammaryGlandLactation.Secretory alveoli cell_Clu high	11
498	MCA	MammaryGlandLactation.Secretory alveoli cell_Cnp high	13
499	MCA	MammaryGlandLactation.Secretory alveoli cell_Crip1 high	11
500	MCA	MammaryGlandLactation.Secretory alveoli cell_Cyb561 high	13
501	MCA	MammaryGlandLactation.Secretory alveoli cell_Dnajb1 high	12
502	MCA	MammaryGlandLactation.Secretory alveoli cell_Ehf high	13
503	MCA	MammaryGlandLactation.Secretory alveoli cell_Fcer1g high	12
504	MCA	MammaryGlandLactation.Secretory alveoli cell_Fth1 high	13
505	MCA	MammaryGlandLactation.Secretory alveoli cell_Fth1&Cib1 high	12
506	MCA	MammaryGlandLactation.Secretory alveoli cell_Fth1&Wfdc3 high	13
507	MCA	MammaryGlandLactation.Secretory alveoli cell_Gadd45b high	12
508	MCA	MammaryGlandLactation.Secretory alveoli cell_Ggnbp2 high	11
509	MCA	MammaryGlandLactation.Secretory alveoli cell_Gm1673 high	12
510	MCA	MammaryGlandLactation.Secretory alveoli cell_Gpx3 high	12
511	MCA	MammaryGlandLactation.Secretory alveoli cell_Hes1 high	12
512	MCA	MammaryGlandLactation.Secretory alveoli cell_Hsp90aa1 high	12
513	MCA	MammaryGlandLactation.Secretory alveoli cell_Hspa1a high	12
514	MCA	MammaryGlandLactation.Secretory alveoli cell_Ifi27l2a_high	13
515	MCA	MammaryGlandLactation.Secretory alveoli cell_Ifi35 high	12
516	MCA	MammaryGlandLactation.Secretory alveoli cell_Igfbp7 high	11
517	MCA	MammaryGlandLactation.Secretory alveoli cell_Ighm1 high	12
518	MCA	MammaryGlandLactation.Secretory alveoli cell_Igkv1-110 high	11
519	MCA	MammaryGlandLactation.Secretory alveoli cell_Igkv1-110&P4hb high	12
520	MCA	MammaryGlandLactation.Secretory alveoli cell_Igkv1-117 high	13
521	MCA	MammaryGlandLactation.Secretory alveoli cell_Iglc1 high	12
522	MCA	MammaryGlandLactation.Secretory alveoli cell_Igsf8 high	11
523	MCA	MammaryGlandLactation.Secretory alveoli cell_Kif5b high	13
524	MCA	MammaryGlandLactation.Secretory alveoli cell_Klf2 high	12
525	MCA	MammaryGlandLactation.Secretory alveoli cell_Klf6 high	12
526	MCA	MammaryGlandLactation.Secretory alveoli cell_Lgals1 high	13
527	MCA	MammaryGlandLactation.Secretory alveoli cell_Ly6a high	12
528	MCA	MammaryGlandLactation.Secretory alveoli cell_Lyz2 high	11
529	MCA	MammaryGlandLactation.Secretory alveoli cell_Malat1 high	11
530	MCA	MammaryGlandLactation.Secretory alveoli cell_Mat2a high	12
531	MCA	MammaryGlandLactation.Secretory alveoli cell_Mrpl15 high	12
532	MCA	MammaryGlandLactation.Secretory alveoli cell_mt-Tp high	12
533	MCA	MammaryGlandLactation.Secretory alveoli cell_Naxd high	12
534	MCA	MammaryGlandLactation.Secretory alveoli cell_Pa2g4 high	13
535	MCA	MammaryGlandLactation.Secretory alveoli cell_Ppp2r3a high	12
536	MCA	MammaryGlandLactation.Secretory alveoli cell_Prkcsh high	10
537	MCA	MammaryGlandLactation.Secretory alveoli cell_Ptpn18 high	13
538	MCA	MammaryGlandLactation.Secretory alveoli cell_Rac2 high	13
539	MCA	MammaryGlandLactation.Secretory alveoli cell_Retnla high	12
540	MCA	MammaryGlandLactation.Secretory alveoli cell_Rgs2_high_Rora high	11
541	MCA	MammaryGlandLactation.Secretory alveoli cell_Rhob high	12
542	MCA	MammaryGlandLactation.Secretory alveoli cell_S100a11 high	11
543	MCA	MammaryGlandLactation.Secretory alveoli cell_Sars high	11
544	MCA	MammaryGlandLactation.Secretory alveoli cell_Sh3bgrl3 high	13
545	MCA	MammaryGlandLactation.Secretory alveoli cell_Snord118 high	12
546	MCA	MammaryGlandLactation.Secretory alveoli cell_Spp1 high	12
547	MCA	MammaryGlandLactation.Secretory alveoli cell_Srsf11 high	13
548	MCA	MammaryGlandLactation.Secretory alveoli cell_Taf1d high	11
549	MCA	MammaryGlandLactation.Secretory alveoli cell_Thy1 high	12
550	MCA	MammaryGlandLactation.Secretory alveoli cell_Tmem123 high	11
551	MCA	MammaryGlandLactation.Secretory alveoli cell_Tmsb10 high	12
552	MCA	MammaryGlandLactation.Secretory alveoli cell_Tubb5 high	13
553	MCA	MammaryGlandLactation.Secretory alveoli cell_Tyrobp high	11
554	MCA	MammaryGlandLactation.Secretory alveoli cell_Ube2e3 high	12
555	MCA	MammaryGlandLactation.Secretory alveoli cell_Wfdc17 high	12
556	MCA	MammaryGlandLactation.Secretory alveoli cell_Wfdc3&Wap high	11
557	MCA	MammaryGlandLactation.Secretory alveoli cell_Yif1b1 high	13
558	MCA	MammaryGlandLactation.Stromal cell	9
559	MCA	MammaryGlandLactation.T cell	11
560	MCA	MammaryGlandPregnancy.B cell_Jchain high	147
561	MCA	MammaryGlandPregnancy.B cell_Ly6d high	47
562	MCA	MammaryGlandPregnancy.Dendritic cell_Cd209a high	67
563	MCA	MammaryGlandPregnancy.Dendritic cell_Fscn1 high	72
564	MCA	MammaryGlandPregnancy.Ductal luminal cell	23
565	MCA	MammaryGlandPregnancy.Endothelial cell	18
566	MCA	MammaryGlandPregnancy.Luminal cell	88
567	MCA	MammaryGlandPregnancy.Macrophage	70
568	MCA	MammaryGlandPregnancy.Mast cell	25
569	MCA	MammaryGlandPregnancy.Myeloid leukocyte	34
570	MCA	MammaryGlandPregnancy.Myoepithelial cell	100
571	MCA	MammaryGlandPregnancy.Neuron	76
572	MCA	MammaryGlandPregnancy.NK cell_Gzma high	33
573	MCA	MammaryGlandPregnancy.NK_cells_Gzmb high	81
574	MCA	MammaryGlandPregnancy.Secretory alveoli cell	103
575	MCA	MammaryGlandPregnancy.Stromal cell	59
576	MCA	MammaryGlandPregnancy.T cell	53
577	MCA	MammaryGlandPregnancy.T cell_Grwd1 high	65
578	MCA	MammaryGlandVirgin.B cell_Cd79a&Fcer2a high	26
579	MCA	MammaryGlandVirgin.B cell_Cd79a&Iglc2 high	15
580	MCA	MammaryGlandVirgin.B cell_Jchain high	45
581	MCA	MammaryGlandVirgin.Dendritic cell_Cst3 high	30
582	MCA	MammaryGlandVirgin.Dendritic cell_Fscn1 high	19
583	MCA	MammaryGlandVirgin.Dendritic cell_Siglech high	19
584	MCA	MammaryGlandVirgin.Dividing cell	38
585	MCA	MammaryGlandVirgin.Luminal cell_Krt19 high	28
586	MCA	MammaryGlandVirgin.Luminal progenitor	25
587	MCA	MammaryGlandVirgin.Macrophage_C1qc high	12
588	MCA	MammaryGlandVirgin.Macrophage_Lyz1 high	11
589	MCA	MammaryGlandVirgin.NK cell	13
590	MCA	MammaryGlandVirgin.Stem and progenitor cell	17
591	MCA	MammaryGlandVirgin.Stromal cell_Col3a1 high	14
592	MCA	MammaryGlandVirgin.Stromal cell_Pi16 high	24
593	MCA	MammaryGlandVirgin.T cell_Cd8b1 high	23
594	MCA	MammaryGlandVirgin.T cell_Ly6c2 high	41
595	MCA	MammaryGlandVirgin.T-cells_Ctla4 high	19
596	MCA	MesenchymalStemCells.B cell	22
597	MCA	MesenchymalStemCells.Basophils	17
598	MCA	MesenchymalStemCells.CXCL12-abundant reticular cell	16
599	MCA	MesenchymalStemCells.Endothelial cells	19
600	MCA	MesenchymalStemCells.Endothelial cells_Ly6c1 high	14
601	MCA	MesenchymalStemCells.Eosinophils	19
602	MCA	MesenchymalStemCells.Erythroblast	19
603	MCA	MesenchymalStemCells.Erythrocytes	63
604	MCA	MesenchymalStemCells.Fibroblasts	33
605	MCA	MesenchymalStemCells.Granulocyte monocyte progenitors	65
606	MCA	MesenchymalStemCells.Megakaryocyte	10
607	MCA	MesenchymalStemCells.Mesenchymal stem cell_Cxcl1 high	54
608	MCA	MesenchymalStemCells.Mesenchymal stem cell_Cxcl10 high	78
609	MCA	MesenchymalStemCells.Mesenchymal stem cell_Tmsb10 high	51
610	MCA	MesenchymalStemCells.MSC	14
611	MCA	MesenchymalStemCells.Myoblast	14
612	MCA	MesenchymalStemCells.Neutrophil	9
613	MCA	MesenchymalStemCells.Osteoblasts	16
614	MCA	MesenchymalStemCells.Proerythrocytes	74
615	MCA	MesenchymalStemCells.Stromal cell_Cnmd high	23
616	MCA	MesenchymalStemCells.Stromal cell_Col10a1_high	22
617	MCA	MesenchymalStemCells.Stromal cell_Col1a2 high	22
618	MCA	MesenchymalStemCellsPrimary.B cell	22
619	MCA	MesenchymalStemCellsPrimary.Basophils	17
620	MCA	MesenchymalStemCellsPrimary.CXCL12-abundant reticular cell	16
621	MCA	MesenchymalStemCellsPrimary.Endothelial cells	19
622	MCA	MesenchymalStemCellsPrimary.Endothelial cells_Ly6c1 high	14
