	Atlas	cellType	gene
623	MCA	MesenchymalStemCellsPrimary.Eosinophils	21
624	MCA	MesenchymalStemCellsPrimary.Erythroblast	19
625	MCA	MesenchymalStemCellsPrimary.Erythrocytes	66
626	MCA	MesenchymalStemCellsPrimary.Fibroblasts	34
627	MCA	MesenchymalStemCellsPrimary.Granulocyte monocyte progenitors	70
628	MCA	MesenchymalStemCellsPrimary.Megakaryocyte	10
629	MCA	MesenchymalStemCellsPrimary.MSC	14
630	MCA	MesenchymalStemCellsPrimary.Myoblast	14
631	MCA	MesenchymalStemCellsPrimary.Neutrophil	11
632	MCA	MesenchymalStemCellsPrimary.Osteoblasts	17
633	MCA	MesenchymalStemCellsPrimary.Proerythrocytes	74
634	MCA	MesenchymalStemCellsPrimary.Stromal cell_Cnmd high	25
635	MCA	MesenchymalStemCellsPrimary.Stromal cell_Col10a1_high	23
636	MCA	MesenchymalStemCellsPrimary.Stromal cell_Col1a2 high	22
637	MCA	Muscle.B cell_Jchain high	15
638	MCA	Muscle.B cell_Vpreb3 high	11
639	MCA	Muscle.Dendritic cell	20
640	MCA	Muscle.Endothelial cell	9
641	MCA	Muscle.Erythroblast_Car1 high	145
642	MCA	Muscle.Erythroblast_Car2 high	10
643	MCA	Muscle.Granulocyte monocyte progenitor cell	15
644	MCA	Muscle.Macrophage_Ms4a6c high	15
645	MCA	Muscle.Macrophage_Retnla high	17
646	MCA	Muscle.Muscle cell_Tnnc1 high	29
647	MCA	Muscle.Muscle cell_Tnnc2 high	17
648	MCA	Muscle.Muscle progenitor cell	14
649	MCA	Muscle.Neutrophil_Camp high	12
650	MCA	Muscle.Neutrophil_Prg2 high	13
651	MCA	Muscle.Neutrophil_Retnlg high	12
652	MCA	Muscle.Stromal cell	15
653	MCA	Muscle.T cell	31
654	MCA	NeonatalCalvaria.Dividng cell	17
655	MCA	NeonatalCalvaria.Endothelial cell	16
656	MCA	NeonatalCalvaria.Erythroblast	7
657	MCA	NeonatalCalvaria.Granulocyte monocyte progenitor cell	33
658	MCA	NeonatalCalvaria.Mast cell	9
659	MCA	NeonatalCalvaria.Muscle cell_Actc1 high	32
660	MCA	NeonatalCalvaria.Muscle cell_Junb high	13
661	MCA	NeonatalCalvaria.Muscle cell_Myl9 high	12
662	MCA	NeonatalCalvaria.Neuron	6
663	MCA	NeonatalCalvaria.Neutrophil	11
664	MCA	NeonatalCalvaria.Osteoblast 	18
665	MCA	NeonatalCalvaria.Preosteoblast/Osteoblast/Bone cell/Cartilage cell	9
666	MCA	NeonatalCalvaria.Stromal cell_Col1a1 high	14
667	MCA	NeonatalCalvaria.Stromal cell_Col3a1 high	11
668	MCA	NeonatalHeart.Atrial cardiomyocyte	17
669	MCA	NeonatalHeart.Atrial cardiomyocyte_Acta2 high	13
670	MCA	NeonatalHeart.Cardiac muscle cell	13
671	MCA	NeonatalHeart.Dendritic cell	11
672	MCA	NeonatalHeart.Dividing cell	13
673	MCA	NeonatalHeart.Endothelial cell_Eln high	16
674	MCA	NeonatalHeart.Endothelial cell_Enpp2 high	11
675	MCA	NeonatalHeart.Endothelial cell_Igfbp5 high	18
676	MCA	NeonatalHeart.Epithelial cell	17
677	MCA	NeonatalHeart.Left ventricle cardiomyocyte_Myl2 high	14
678	MCA	NeonatalHeart.Macrophage	13
679	MCA	NeonatalHeart.Neutrophil_Ngp high	16
680	MCA	NeonatalHeart.Neutrophil_Retnlg high	11
681	MCA	NeonatalHeart.Smooth muscle cell	14
682	MCA	NeonatalHeart.Stromal cell_Col3a1 high	10
683	MCA	NeonatalHeart.Stromal cell_Fmod high	12
684	MCA	NeonatalHeart.Vascular endothelial cell	17
685	MCA	NeonatalHeart.Ventricle cardiomyocyte_Kcnj8 high	9
686	MCA	NeonatalMuscle.Adipocyte 	43
687	MCA	NeonatalMuscle.B cell	15
688	MCA	NeonatalMuscle.Brown adipose tissue	75
689	MCA	NeonatalMuscle.Chondrocyte	22
690	MCA	NeonatalMuscle.Dendritic cell	10
691	MCA	NeonatalMuscle.Endothelial cell	14
692	MCA	NeonatalMuscle.Epithelial cell	24
693	MCA	NeonatalMuscle.Erythroblast_Car2 high	87
694	MCA	NeonatalMuscle.Erythroblast_Hbb-bs high	10
695	MCA	NeonatalMuscle.Glial cell	10
696	MCA	NeonatalMuscle.Macrophage_Lyz2 high	14
697	MCA	NeonatalMuscle.Macrophage_Pf4 high	20
698	MCA	NeonatalMuscle.Mast cell	19
699	MCA	NeonatalMuscle.Mesenchymal cell	23
700	MCA	NeonatalMuscle.Muscle cell_Actc1 high	29
701	MCA	NeonatalMuscle.Muscle cell_Myl9 high	14
702	MCA	NeonatalMuscle.Neuron	12
703	MCA	NeonatalMuscle.Neutrophil_Elane high	56
704	MCA	NeonatalMuscle.Neutrophil_Hmox1 high	21
705	MCA	NeonatalMuscle.Neutrophil_Stfa3 high	16
706	MCA	NeonatalMuscle.Skeletal muscle cell_Myl1 high	25
707	MCA	NeonatalMuscle.Skeletal muscle cell_Tnnc2 high	21
708	MCA	NeonatalMuscle.Smooth muscle cell_Mylk high	14
709	MCA	NeonatalMuscle.Stromal cell_Ndn high	16
710	MCA	NeonatalMuscle.Stromal cell_Spp1 high	19
711	MCA	NeonatalMuscle.T cell	18
712	MCA	NeonatalMuscle.Tendon stem/progenitor cell	18
713	MCA	NeonatalRib.B cell	18
714	MCA	NeonatalRib.Cartilage cell_Clu high	21
715	MCA	NeonatalRib.Cartilage cell_Col2a1 high	9
716	MCA	NeonatalRib.Cartilage cell_Cxcl14 high	21
717	MCA	NeonatalRib.Cartilage cell_Ppa1 high	22
718	MCA	NeonatalRib.Cartilage cell_Prg4 high	15
719	MCA	NeonatalRib.Dividing cell	13
720	MCA	NeonatalRib.Endothelial cell	8
721	MCA	NeonatalRib.Erythroblast_Hba-a1 high	40
722	MCA	NeonatalRib.Erythroblast_Ttr high	15
723	MCA	NeonatalRib.Granulocyte	37
724	MCA	NeonatalRib.Macrophage_C1qc high	14
725	MCA	NeonatalRib.Macrophage_Ctss high	15
726	MCA	NeonatalRib.Muscle cell	34
727	MCA	NeonatalRib.Muscle cell_Acta2 high	11
728	MCA	NeonatalRib.Muscle cell_Actc1 high	25
729	MCA	NeonatalRib.Neuron_Mpz high	14
730	MCA	NeonatalRib.Neuron_Stmn2 high	8
731	MCA	NeonatalRib.Neutrophil	16
732	MCA	NeonatalRib.Neutrophil_Elane high	35
733	MCA	NeonatalRib.Oligodendrocyte	10
734	MCA	NeonatalRib.Osteoblast	14
735	MCA	NeonatalRib.Osteoclast	30
736	MCA	NeonatalRib.Stromal cell_Acta1 high	11
737	MCA	NeonatalRib.Stromal cell_Tnmd high	14
738	MCA	NeonatalSkin.Adipocyte	23
739	MCA	NeonatalSkin.Brown adipose tissue_Cidea high	26
740	MCA	NeonatalSkin.Brown adipose tissue_Cox8b high	34
741	MCA	NeonatalSkin.Brown adipose tissue_mt-Nd5 high	20
742	MCA	NeonatalSkin.Dividing cell	22
743	MCA	NeonatalSkin.Endothelial cell	20
744	MCA	NeonatalSkin.Epithelial cell	12
745	MCA	NeonatalSkin.Erythroblast	18
746	MCA	NeonatalSkin.Keratinocyte	34
747	MCA	NeonatalSkin.Lymphatic vessel endothelial cell	29
748	MCA	NeonatalSkin.Macrophage_Cd74 high	22
749	MCA	NeonatalSkin.Macrophage_Lyz2 high	31
750	MCA	NeonatalSkin.Macrophage_Pf4 high	39
751	MCA	NeonatalSkin.Mast cell	23
752	MCA	NeonatalSkin.Melanocyte	16
753	MCA	NeonatalSkin.Muscle cell_Actc1 high	22
754	MCA	NeonatalSkin.Muscle cell_Lrrc15 high	23
755	MCA	NeonatalSkin.Neuron	8
756	MCA	NeonatalSkin.Neutrophil	15
757	MCA	NeonatalSkin.Osteoblast_Dlk1 high	20
758	MCA	NeonatalSkin.Osteoblast_Ppic high	20
759	MCA	NeonatalSkin.Smooth muscle cell_Acta2 high	16
760	MCA	NeonatalSkin.Stromal cell_Akr1c18 high	33
761	MCA	NeonatalSkin.Stromal cell_Gas6 high	26
762	MCA	Ovary.Cumulus cell_Car14 high	16
763	MCA	Ovary.Cumulus cell_Nupr1 high	19
764	MCA	Ovary.Cumulus cell_Ube2c high	23
765	MCA	Ovary.Granulosa cell_Inhba high	16
766	MCA	Ovary.Granulosa cell_Kctd14 high	17
767	MCA	Ovary.Large luteal cell	26
768	MCA	Ovary.luteal cells	117
769	MCA	Ovary.Macrophage_Lyz2 high	17
770	MCA	Ovary.Marcrophage_Cd74 high	5
771	MCA	Ovary.Ovarian surface epithelium cell	9
772	MCA	Ovary.Ovarian vascular surface endothelium cell	19
773	MCA	Ovary.Small luteal cell	7
774	MCA	Ovary.Stroma cell	15
775	MCA	Ovary.Thecal cell	15
776	MCA	Pancreas.Acinar cell	22
777	MCA	Pancreas.B cell	6
778	MCA	Pancreas.Dendrtic cell	28
779	MCA	Pancreas.Dividing cell	31
780	MCA	Pancreas.Ductal cell	11
781	MCA	Pancreas.Endocrine cell	16
782	MCA	Pancreas.Endothelial cell_Fabp4 high	11
783	MCA	Pancreas.Endothelial cell_Lrg1 high	21
784	MCA	Pancreas.Endothelial cell_Tm4sf1 high	12
785	MCA	Pancreas.Erythroblast_Hbb-bt high	8
786	MCA	Pancreas.Erythroblast_Igkc high	7
787	MCA	Pancreas.Glial cell	9
788	MCA	Pancreas.Granulocyte	8
789	MCA	Pancreas.Macrophage	9
790	MCA	Pancreas.Macrophage_Ly6c2 high	27
791	MCA	Pancreas.Smooth muscle cell_Acta2 high	14
792	MCA	Pancreas.Smooth muscle cell_Rgs5 high	7
793	MCA	Pancreas.Stromal cell_Fn1 high	13
794	MCA	Pancreas.Stromal cell_Mfap4 high	21
795	MCA	Pancreas.Stromal cell_Smoc2 high	13
796	MCA	Pancreas.T cell	8
797	MCA	Pancreas.β-cell	6
798	MCA	PeripheralBlood.B cell_Igha high	15
799	MCA	PeripheralBlood.B cell_Ly6d high	14
800	MCA	PeripheralBlood.B cell_Rps27rt high	10
801	MCA	PeripheralBlood.B cell_Vpreb3 high	11
802	MCA	PeripheralBlood.Basophil_Prss34 high	6
803	MCA	PeripheralBlood.Dendritic cell_Siglech high	10
804	MCA	PeripheralBlood.Erythroblast_Car2 high	82
805	MCA	PeripheralBlood.Erythroblast_Hba-a2 high	12
806	MCA	PeripheralBlood.Macrophage_Ace high	12
807	MCA	PeripheralBlood.Macrophage_Flt-ps1 high	28
808	MCA	PeripheralBlood.Macrophage_Pf4 high	11
809	MCA	PeripheralBlood.Macrophage_S100a4 high	14
810	MCA	PeripheralBlood.Monocyte_Elane high	47
811	MCA	PeripheralBlood.Monocyte_F13a1 high	30
812	MCA	PeripheralBlood.Neutrophil_Camp high	11
813	MCA	PeripheralBlood.Neutrophil_Il1b high	7
814	MCA	PeripheralBlood.Neutrophil_Ltf high	14
815	MCA	PeripheralBlood.Neutrophil_Retnlg high	12
816	MCA	PeripheralBlood.NK cell_Gzma high	10
817	MCA	PeripheralBlood.T cell_Gm14303 high	34
818	MCA	PeripheralBlood.T cell_Trbc2 high	26
819	MCA	Placenta.B cell	10
820	MCA	Placenta.Basophil	15
821	MCA	Placenta.Decidual stromal cell	10
822	MCA	Placenta.Dendritic cell	10
823	MCA	Placenta.Endodermal cell_Afp high	27
824	MCA	Placenta.Endothelial cell_Maged2 high	9
825	MCA	Placenta.Erythroblast_Hbb-y high	7
826	MCA	Placenta.Granulocyte monocyte progenitors	25
827	MCA	Placenta.Granulocyte_Neat1 high	10
828	MCA	Placenta.Granulocyte_S100a9 high	9
829	MCA	Placenta.HSPC_Lmo2 high	34
830	MCA	Placenta.Invasive spongiotrophoblast	14
831	MCA	Placenta.Labyrinthine trophoblast	27
832	MCA	Placenta.Macrophage_Apoe high	8
833	MCA	Placenta.Macrophage_Spp1 high	10
834	MCA	Placenta.Megakaryocyte progenitor cell	8
835	MCA	Placenta.Monocyte	11
836	MCA	Placenta.NK cell	11
837	MCA	Placenta.NKT cell	19
838	MCA	Placenta.PE lineage cell_Gkn2 high	8
839	MCA	Placenta.PE lineage cell_S100g high	4
840	MCA	Placenta.Progenitor trophoblast_Gjb3 high	30
841	MCA	Placenta.Spiral artery trophoblast giant cells	23
842	MCA	Placenta.Spongiotrophoblast_Hsd11b2 high	69
843	MCA	Placenta.Spongiotrophoblast_Phlda2 high	32
844	MCA	Placenta.Stromal cell	15
845	MCA	Placenta.Stromal cell_Acta2 high	26
846	MCA	Placenta.Trophoblast progenitor_Taf7l high	8
847	MCA	Prostate.Dendritic cell	12
848	MCA	Prostate.Epithelial cell	9
849	MCA	Prostate.Glandular epithelium	10
850	MCA	Prostate.Prostate gland cell	8
851	MCA	Prostate.Stromal cell	10
852	MCA	Prostate.T cell	8
853	MCA	SmallIntestine.B cell_Ighd high	18
854	MCA	SmallIntestine.B cell_Igkv12-46 high	20
855	MCA	SmallIntestine.B cell_Jchain high	8
856	MCA	SmallIntestine.B cell_Ms4a1 high	23
857	MCA	SmallIntestine.Columnar epithelium	15
858	MCA	SmallIntestine.Dendritic cell_Siglech high	23
859	MCA	SmallIntestine.Dendrtic cell_Cst3 high	15
860	MCA	SmallIntestine.Epithelial cell_Kcne3 high	23
861	MCA	SmallIntestine.Epithelial cell_Sh2d6 high	13
862	MCA	SmallIntestine.Epithelium of small intestinal villi_Fabp1 high	35
863	MCA	SmallIntestine.Epithelium of small intestinal villi_Fabp6 high	20
864	MCA	SmallIntestine.Epithelium of small intestinal villi_Gm23935 high	13
865	MCA	SmallIntestine.Epithelium of small intestinal villi_mt-Nd1 high	9
866	MCA	SmallIntestine.Epithelium of small intestinal villi_S100g high	21
867	MCA	SmallIntestine.Erythroblast	18
868	MCA	SmallIntestine.Macrophage_Apoe high	16
869	MCA	SmallIntestine.Macrophage_Cxcl2 high	37
870	MCA	SmallIntestine.Macrophage_G0s2 high	11
871	MCA	SmallIntestine.Mast cell	74
872	MCA	SmallIntestine.Paneth cell	19
873	MCA	SmallIntestine.S cell_Chgb high	14
874	MCA	SmallIntestine.S cell_Gip high	7
875	MCA	SmallIntestine.Stromal cell_Adamdec1 high	11
876	MCA	SmallIntestine.Stromal cell_Dcn high	27
877	MCA	SmallIntestine.T cell_Ccl5 high	13
878	MCA	SmallIntestine.T cell_Cd7 high	16
879	MCA	SmallIntestine.T cell_Icos high	14
880	MCA	SmallIntestine.T cell_Ms4a4b high	21
881	MCA	Spleen.Dendritic cell_S100a4 high	19
882	MCA	Spleen.Dendritic cell_Siglech high	20
883	MCA	Spleen.Erythroblast	90
884	MCA	Spleen.Granulocyte	17
885	MCA	Spleen.Macrophage	27
886	MCA	Spleen.Marginal zone B cell	17
887	MCA	Spleen.Monocyte	21
888	MCA	Spleen.Neutrophil	41
889	MCA	Spleen.NK cell	11
890	MCA	Spleen.Plasma cell	51
891	MCA	Spleen.T cell	14
892	MCA	Stomach.Antral mucous cell	31
893	MCA	Stomach.Dendritic cell	45
894	MCA	Stomach.Dividing cell	53
895	MCA	Stomach.Epithelial cell_Gkn3 high	42
896	MCA	Stomach.Epithelial cell_Krt20 high	43
897	MCA	Stomach.Epithelial cell_Pla2g1b high	18
898	MCA	Stomach.G cell	15
899	MCA	Stomach.Gastric mucosal cell	34
900	MCA	Stomach.Macrophage	17
901	MCA	Stomach.Muscle cell	12
902	MCA	Stomach.Parietal cell	82
903	MCA	Stomach.Pit cell_Gm26917 high	20
904	MCA	Stomach.Pit cell_Ifrd1 high	56
905	MCA	Stomach.Stomach cell_Gkn2 high	30
906	MCA	Stomach.Stomach cell_Mt2 high	46
907	MCA	Stomach.Stomach cell_Muc5ac high	40
908	MCA	Stomach.Tuft cell	16
909	MCA	Testis.Elongating spermatid	12
910	MCA	Testis.Erythroblast_Hbb-bs high	9
911	MCA	Testis.Leydig cell	11
912	MCA	Testis.Macrophage_Lyz2 high	10
913	MCA	Testis.Pre-Sertoli cell_Cst9 high	16
914	MCA	Testis.Pre-Sertoli cell_Ctsl high	13
915	MCA	Testis.Preleptotene spermatogonia	12
916	MCA	Testis.Sertoli cell	6
917	MCA	Testis.Spermatids_1700016P04Rik high	21
918	MCA	Testis.Spermatids_Cst13 high	36
919	MCA	Testis.Spermatids_Hmgb4 high	48
920	MCA	Testis.Spermatids_Tnp1 high	29
921	MCA	Testis.Spermatocyte_1700001F09Rik high	77
922	MCA	Testis.Spermatocyte_Cabs1 high	24
923	MCA	Testis.Spermatocyte_Calm2 high	34
924	MCA	Testis.Spermatocyte_Mesp1 high	23
925	MCA	Testis.Spermatocyte_Slc2a3 high	35
926	MCA	Testis.Spermatogonia_1700001P01Rik high	22
927	MCA	Testis.Spermatogonia_Tbc1d23 high	51
928	MCA	Thymus.abT cell	6
929	MCA	Thymus.B cell	5
930	MCA	Thymus.DPT cell	5
931	MCA	Thymus.gdT cell	22
932	MCA	Thymus.Pre T cell	6
933	MCA	Thymus.Proliferating thymocyte	15
934	MCA	Thymus.T cell_Id2 high	28
935	MCA	Thymus.T cell_Ms4a4b high	19
936	MCA	TrophoblastStemCells.MEF	54
937	MCA	TrophoblastStemCells.TS_dif_epithelial	91
938	MCA	TrophoblastStemCells.TS_Mrp155_high	31
939	MCA	TrophoblastStemCells.TS_Mrpl12_high	19
940	MCA	TrophoblastStemCells.TS_Rps28_high	58
941	MCA	Uterus.B cell	19
942	MCA	Uterus.Dendritic cell	15
943	MCA	Uterus.Endothelial cell_Cldn5 high	14
944	MCA	Uterus.Endothelial cell_Tm4sf1 high	11
945	MCA	Uterus.Glandular epithelium_Ltf high	41
946	MCA	Uterus.Glandular epithelium_Sprr2f high	40
947	MCA	Uterus.Granulocyte	3
948	MCA	Uterus.Keratinocyte	15
949	MCA	Uterus.Macrophage	11
950	MCA	Uterus.Monocyte	10
951	MCA	Uterus.Muscle cell_Mgp high	10
952	MCA	Uterus.Muscle cell_Pcp4 high	12
953	MCA	Uterus.NK cell	13
954	MCA	Uterus.Smooth muscle cell_Rgs5 high	9
955	MCA	Uterus.Stromal cell_Ccl11 high	63
956	MCA	Uterus.Stromal cell_Cxcl14 high	10
957	MCA	Uterus.Stromal cell_Gm23935 high	19
958	MCA	Uterus.Stromal cell_Has1 high	39
959	MCA	Uterus.Stromal cell_Hsd11b2 high	27
